Datetime,YEAR,MONTH,DAY,SST,Temperature
2018-10-21,2018.0,10.0,21.0,14.427083333333336,12.801391066432977
2018-10-22,2018.0,10.0,22.0,14.390277777777774,12.772359188227218
2018-10-23,2018.0,10.0,23.0,14.501408450704224,12.860018024308479
2018-10-24,2018.0,10.0,24.0,14.105555555555556,12.547772960597806
2018-10-25,2018.0,10.0,25.0,13.892361111111107,12.379607175519192
2018-10-26,2018.0,10.0,26.0,13.838888888888887,12.337428786427814
2018-10-27,2018.0,10.0,27.0,13.788194444444445,12.297441482484043
2018-10-28,2018.0,10.0,28.0,13.841666666666667,12.33961987157542
2018-10-29,2018.0,10.0,29.0,13.83472222222222,12.334142158706408
2018-10-30,2018.0,10.0,30.0,12.975,11.656001305522953
2018-10-31,2018.0,10.0,31.0,12.511267605633805,11.290213527289843
2018-11-01,2018.0,11.0,1.0,12.172463768115945,11.022968227008652
2018-11-02,2018.0,11.0,2.0,12.072027972027971,10.943745409814039
2018-11-03,2018.0,11.0,3.0,12.194405594405596,11.040275734498696
2018-11-04,2018.0,11.0,4.0,12.008510638297873,10.893643530655524
2018-11-05,2018.0,11.0,5.0,11.731690140845073,10.675290109667893
2018-11-06,2018.0,11.0,6.0,11.177777777777774,10.238369215023123
2018-11-07,2018.0,11.0,7.0,11.144755244755244,10.21232134963203
2018-11-08,2018.0,11.0,8.0,11.135664335664334,10.205150525512597
2018-11-09,2018.0,11.0,9.0,11.366433566433566,10.387179137775089
2018-11-10,2018.0,11.0,10.0,11.195833333333333,10.252611268482553
2018-11-11,2018.0,11.0,11.0,11.546853146853149,10.529492416453039
2018-11-12,2018.0,11.0,12.0,11.85,10.76861182074331
2018-11-13,2018.0,11.0,13.0,11.817482517482517,10.742962334469958
2018-11-14,2018.0,11.0,14.0,12.758208955223882,11.484998555719647
2018-11-15,2018.0,11.0,15.0,12.835211267605633,11.545737259996343
2018-11-16,2018.0,11.0,16.0,13.016783216783216,11.68895951637957
2018-11-17,2018.0,11.0,17.0,13.233333333333334,11.859772224250133
2018-11-18,2018.0,11.0,18.0,13.933333333333335,12.411925681446355
2018-11-19,2018.0,11.0,19.0,13.688111888111887,12.218497297506818
2018-11-20,2018.0,11.0,20.0,13.793006993006992,12.30123757580795
2018-11-21,2018.0,11.0,21.0,13.797916666666666,12.305110280500656
2018-11-22,2018.0,11.0,22.0,13.86549295774648,12.35841382727811
2018-11-23,2018.0,11.0,23.0,13.768531468531467,12.281931510871019
2018-11-24,2018.0,11.0,24.0,14.052083333333336,12.50559457150643
2018-11-25,2018.0,11.0,25.0,14.438194444444447,12.810155407023395
2018-11-26,2018.0,11.0,26.0,14.384615384615385,12.767892745426337
2018-11-27,2018.0,11.0,27.0,14.286805555555556,12.690741266478971
2018-11-28,2018.0,11.0,28.0,13.834027777777774,12.333594387419506
2018-11-29,2018.0,11.0,29.0,14.00625,12.46944166657096
2018-11-30,2018.0,11.0,30.0,14.109027777777774,12.550511817032309
2018-12-01,2018.0,12.0,1.0,14.06083916083916,12.512501086403509
2018-12-02,2018.0,12.0,2.0,13.782517482517484,12.29296354797784
2018-12-03,2018.0,12.0,3.0,13.604861111111116,12.152829862742179
2018-12-04,2018.0,12.0,4.0,13.593706293706296,12.144031047035801
2018-12-05,2018.0,12.0,5.0,13.596527777777775,12.14625660729936
2018-12-06,2018.0,12.0,6.0,13.68263888888889,12.214180246875088
2018-12-07,2018.0,12.0,7.0,13.779577464788732,12.29064448947334
2018-12-08,2018.0,12.0,8.0,13.932394366197189,12.41118503294576
2018-12-09,2018.0,12.0,9.0,14.018055555555556,12.478753778448278
2018-12-10,2018.0,12.0,10.0,14.007692307692304,12.4705793453976
2018-12-11,2018.0,12.0,11.0,13.727083333333333,12.249237609236753
2018-12-12,2018.0,12.0,12.0,13.780714285714287,12.29154120319371
2018-12-13,2018.0,12.0,13.0,13.967346938775512,12.43875529549865
2018-12-14,2018.0,12.0,14.0,13.922222222222226,12.403161340855942
2018-12-15,2018.0,12.0,15.0,13.91527777777778,12.397683627986929
2018-12-16,2018.0,12.0,16.0,14.33888888888889,12.731824112996549
2018-12-17,2018.0,12.0,17.0,14.40625,12.784957927825946
2018-12-18,2018.0,12.0,18.0,14.315972222222221,12.713747660528814
